Player, Rnd, K, D, A, FK, FD, CL, LastAlive, KMax, Rating, ACS, ADR, KAST, HS%
PROFEK,244,180,168,75,14,16,10,36,22,1.05,200.7,133.8,0.68,0.3
xeus,179,153,140,26,25,40,3,12,25,1.05,231.8,148.7,0.67,0.38
K4DAVRA,192,122,119,70,9,8,2,24,20,1.04,181.9,113.7,0.7,0.36
trexx,249,157,156,96,19,14,6,34,29,1.03,194.2,128.3,0.71,0.17
Click,192,155,138,17,36,36,2,8,24,1.02,209.6,134.1,0.68,0.38
Kicks,249,168,168,117,22,15,3,19,20,1.01,194.7,117.7,0.78,0.29
paTiTek,493,302,309,180,42,33,6,46,22,0.99,173.8,116.2,0.75,0.26
Zyppan,192,121,133,82,16,19,2,17,22,0.98,179.6,120.8,0.69,0.31
kamo,493,381,364,77,84,74,5,31,22,0.98,219.6,143.6,0.7,0.27
nAts,493,348,340,130,52,42,5,47,19,0.98,200.0,135.0,0.71,0.29
tomaszy,176,116,128,73,14,15,3,24,23,0.97,182.5,120.8,0.72,0.3
saadhak,199,127,131,67,14,22,3,20,18,0.97,183.9,119.2,0.73,0.26
Filu,117,92,93,20,17,26,1,13,22,0.97,228.8,149.9,0.71,0.28
purp0,176,137,134,23,34,28,0,11,22,0.97,218.5,143.5,0.7,0.37
Elite,199,120,125,47,13,19,4,27,19,0.96,170.1,117.9,0.79,0.4
Boaster,215,127,140,100,20,19,6,23,20,0.95,169.9,110.8,0.73,0.23
marteen,199,144,148,38,34,36,1,12,26,0.95,204.2,134.6,0.66,0.28
Jamppi,244,157,178,83,13,20,5,22,22,0.94,189.0,127.9,0.74,0.29
MiniBoo,189,130,142,35,34,27,1,16,20,0.94,197.3,131.4,0.63,0.33
LewN,244,179,182,46,40,56,2,16,25,0.93,205.3,132.8,0.66,0.36
AvovA,111,68,80,37,7,8,2,19,17,0.93,175.4,117.1,0.75,0.35
soulcas,117,79,85,28,9,7,2,14,20,0.92,184.8,125.3,0.72,0.33
MrFaliN,179,101,120,59,8,16,4,24,15,0.91,164.8,109.7,0.67,0.23
grubinho,117,73,82,46,9,12,3,14,20,0.91,168.3,104.5,0.72,0.26
qRaxs,179,110,130,74,11,9,1,14,19,0.90,178.6,117.8,0.74,0.26
oderus,46,31,34,13,0,6,2,5,23,0.90,184.5,132.5,0.65,0.38
RobbieBk,192,95,124,56,14,13,1,25,18,0.90,154.3,111.0,0.71,0.28
runneR,176,100,123,70,10,12,3,21,20,0.90,170.6,110.4,0.75,0.24
AtaKaptan,179,106,134,67,11,20,6,20,17,0.89,170.8,110.8,0.68,0.27
crashies,215,119,131,49,10,12,5,35,21,0.89,155.3,112.0,0.74,0.34
koalanoob,128,92,98,22,21,22,3,14,24,0.88,200.7,133.8,0.63,0.23
hiro,128,79,92,37,8,10,1,17,20,0.87,168.7,120.5,0.66,0.29
Boo,189,102,134,102,9,16,0,28,17,0.86,156.3,104.6,0.71,0.38
MOLSI,111,55,79,51,2,8,3,20,17,0.85,149.6,100.9,0.79,0.27
sheydos,117,63,84,22,8,3,3,19,15,0.84,154.3,111.7,0.66,0.27
hype,111,66,84,18,12,13,0,10,21,0.83,172.6,116.9,0.64,0.29
westside,176,101,129,42,12,14,1,21,17,0.83,164.4,111.2,0.67,0.36
benjyfishy,189,109,136,39,9,22,3,16,22,0.82,161.6,113.5,0.69,0.36
vakk,244,135,175,60,8,17,5,32,22,0.78,150.5,97.4,0.67,0.32
flyuh,117,70,91,29,10,16,1,15,18,0.77,168.7,112.5,0.68,0.24
batujnax,65,38,52,17,6,12,1,6,27,0.76,155.7,103.0,0.68,0.19
ANGE1,128,60,95,38,10,11,3,10,13,0.68,148.0,99.5,0.63,0.29
CHICHOO,313,271,213,87,24,22,11,51,36,1.23,235.6,158.1,0.71,0.28
nAts,155,141,107,29,14,18,3,23,25,1.21,257.6,155.1,0.72,0.26
trent,360,274,226,116,31,31,14,48,26,1.21,220.0,146.9,0.75,0.25
Derke,225,204,170,38,46,45,5,16,32,1.18,257.2,166.8,0.7,0.22
iZu,453,341,276,96,48,40,19,61,21,1.13,207.1,130.6,0.75,0.3
free1ng,149,117,101,38,18,16,1,15,24,1.10,227.3,146.9,0.77,0.29
Keiko,155,117,107,52,15,12,2,20,31,1.09,198.9,137.7,0.77,0.3
trexx,225,153,150,98,12,11,3,32,28,1.09,207.3,134.3,0.72,0.19
BeYN,149,95,92,65,9,10,4,19,17,1.08,182.4,117.3,0.78,0.25
BuZz,453,370,331,107,78,62,6,30,26,1.08,239.5,150.4,0.72,0.17
valyn,360,244,231,158,29,27,5,37,26,1.08,186.8,122.1,0.76,0.23
leaf,360,267,244,91,38,36,5,41,28,1.06,207.3,137.5,0.74,0.24
N4RRATE,103,75,77,40,13,4,2,15,33,1.05,202.4,148.4,0.76,0.27
Meteor,453,366,337,103,75,50,7,45,30,1.04,229.0,152.8,0.71,0.33
Less,225,163,159,69,14,26,6,30,23,1.03,197.1,128.8,0.68,0.29
jawgemo,360,277,262,104,47,64,9,24,29,1.03,218.5,142.9,0.71,0.23
Sylvan,408,260,267,262,31,18,7,42,25,1.02,186.1,114.6,0.77,0.27
ZmjjKK,313,260,249,59,66,70,1,27,33,1.01,236.2,151.0,0.7,0.23
stax,453,284,282,154,20,20,10,59,22,1.01,173.6,120.3,0.74,0.31
Smoggy,313,203,219,152,30,20,9,45,24,1.01,191.1,124.6,0.74,0.3
Flashback,149,101,101,26,13,11,2,25,26,1.00,180.4,126.4,0.71,0.26
kamo,155,117,115,23,28,27,2,15,34,0.99,215.0,144.5,0.66,0.27
JonahP,360,235,254,164,30,26,4,44,21,0.98,187.6,119.3,0.78,0.24
Kicks,225,142,153,82,11,25,6,27,20,0.94,174.3,115.0,0.73,0.27
nobody,313,195,216,71,27,27,1,24,25,0.94,180.1,123.9,0.71,0.3
bang,103,67,74,33,11,11,2,8,22,0.93,186.0,113.8,0.68,0.31
Kai,74,54,62,9,10,9,1,13,20,0.92,200.8,128.6,0.62,0.31
zekken,103,72,73,11,16,24,1,7,25,0.92,196.6,135.1,0.69,0.29
MaKo,149,85,103,72,8,16,2,15,25,0.92,173.3,118.4,0.74,0.24
HYUNMIN,149,108,121,33,25,23,0,7,23,0.90,205.9,134.0,0.71,0.32
